team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments
CAR	C.Newton+C.Brown	(9:02) C.Newton pass deep middle to C.Brown for 36 yards, TOUCHDOWN.	FALSE	FALSE	2					
HOU	R.Mallett	(6:38) (Shotgun) R.Mallett scrambles right guard for 6 yards, TOUCHDOWN.	FALSE	FALSE	2					
BUF	Ka.Williams	(10:03) (Shotgun) Ka.Williams up the middle for 2 yards, TOUCHDOWN.	FALSE	FALSE	2					
NE	J.Edelman+T.Brady	(4:08) (Shotgun) T.Brady pass short right to J.Edelman for 8 yards, TOUCHDOWN. Caught at goal line, crossing from middle.	FALSE	FALSE	2					
NE	D.Lewis	(1:04) D.Lewis right guard for 6 yards, TOUCHDOWN.	FALSE	FALSE	2					
NE	T.Brady+R.Gronkowski	(13:18) T.Brady pass short middle to R.Gronkowski for 2 yards, TOUCHDOWN. Caught 7 yds. into end zone, crossing from left.	FALSE	FALSE	2					
BUF	T.Taylor+C.Clay	(5:20) T.Taylor pass short right to C.Clay for 9 yards, TOUCHDOWN. Caught at NE 3.	FALSE	FALSE	2					
NE	J.Edelman+T.Brady	(3:32) (No Huddle) T.Brady pass short left to J.Edelman for 22 yards, TOUCHDOWN. BUF-A.Williams was injured during the play. He is Out.  Caught at BUF 17, crossing from middle. A.Williams removed from field by ambulance.	FALSE	FALSE	2					
BUF	R.Woods+T.Taylor	(11:48) (No Huddle, Shotgun) T.Taylor pass deep right to R.Woods for 32 yards, TOUCHDOWN. Caught 2 yds. into end zone.	FALSE	FALSE	2					
BUF	T.Taylor	(5:32) (Shotgun) T.Taylor left guard for 7 yards, TOUCHDOWN.	FALSE	FALSE	2					
BUF	S.Watkins+T.Taylor	(4:20) (Shotgun) T.Taylor pass deep left to S.Watkins for 24 yards, TOUCHDOWN.	FALSE	FALSE	2					
CIN	A.Dalton+A.Green	(12:58) (Shotgun) A.Dalton pass deep left to A.Green for 16 yards, TOUCHDOWN.	FALSE	FALSE	2					
CIN	M.Jones+A.Dalton	(6:08) (Shotgun) A.Dalton pass deep middle to M.Jones for 45 yards, TOUCHDOWN.	FALSE	FALSE	2					
CIN	M.Te'o+A.Dalton	(1:19) (Shotgun) A.Dalton sacked at CIN 28 for -7 yards (M.Te'o). FUMBLES (M.Te'o), RECOVERED by SD-J.Attaochu at CIN 36. J.Attaochu for 36 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) A.Dalton pass incomplete [M.Te'o].	TRUE	FALSE	2					
SD	P.Rivers+S.Johnson	(10:40) (Shotgun) P.Rivers pass short right to S.Johnson for 10 yards, TOUCHDOWN.	FALSE	FALSE	2					
CIN	G.Bernard+T.Kroft	(10:12) G.Bernard right guard for 12 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CIN-T.Kroft, Offensive Holding, 10 yards, enforced at SD 8. Bernard gets credit for 4 yards on Rush, due to Penalty.	FALSE	TRUE	2					
CIN	A.Dalton+T.Eifert	(8:54) (Shotgun) A.Dalton pass short right to T.Eifert for 9 yards, TOUCHDOWN.	FALSE	FALSE	2					
SD	P.Rivers+M.Floyd	(4:27) (Shotgun) P.Rivers pass deep right to M.Floyd for 40 yards, TOUCHDOWN.	FALSE	FALSE	2					
CLE	J.Manziel+T.Benjamin	(12:59) J.Manziel pass deep middle to T.Benjamin for 60 yards, TOUCHDOWN.	FALSE	FALSE	2					
CLE	I.Crowell	(6:33) I.Crowell right guard for 11 yards, TOUCHDOWN. The Replay Official reviewed the runner was down by contact ruling, and the play was Upheld. The ruling on the field stands.	FALSE	FALSE	2					
TEN	T.Benjamin+B.Kern	(1:12) (Punt formation) B.Kern punts 52 yards to CLE 22, Center-B.Brinkley. T.Benjamin for 78 yards, TOUCHDOWN.	FALSE	FALSE	2					
TEN	M.Mariota+A.Fasano	(1:42) M.Mariota pass deep right to A.Fasano for 19 yards, TOUCHDOWN.	FALSE	FALSE	2					
TEN	M.Mariota+D.Green-Beckham	(6:48) (Shotgun) M.Mariota pass short middle to D.Green-Beckham for 13 yards, TOUCHDOWN.	FALSE	FALSE	2					
CLE	J.Manziel+T.Benjamin	(3:01) (Shotgun) J.Manziel pass deep left to T.Benjamin for 50 yards, TOUCHDOWN. CLE # 74 reports as an eligible receiver. QB scramble on the play	FALSE	FALSE	2					
ATL	L.Collins+L.Hankerson+M.Ryan	(:54) (Shotgun) M.Ryan pass short middle to L.Hankerson for 12 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) M.Ryan pass short middle to L.Hankerson to NYG 1 for 11 yards (L.Collins).	TRUE	FALSE	2					
ATL	T.Coleman	(:42) T.Coleman left end for 1 yard, TOUCHDOWN.	FALSE	FALSE	2					
NYG	O.Beckham Jr.+E.Manning	(3:34) (No Huddle, Shotgun) E.Manning pass short left to O.Beckham Jr. for 67 yards, TOUCHDOWN.	FALSE	FALSE	2					
NYG	E.Manning+L.Donnell	(11:00) (No Huddle, Shotgun) E.Manning pass short middle to L.Donnell for 10 yards, TOUCHDOWN. Penalty on ATL-K.Biermann, Illegal Use of Hands, declined.	FALSE	FALSE	2					
ATL	J.Tamme	(13:36) D.Freeman right end for 11 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on ATL-J.Tamme, Offensive Holding, 10 yards, enforced at NYG 11 - No Play.	FALSE	TRUE	2					
ATL	L.Hankerson+M.Ryan	(12:46) (Shotgun) M.Ryan pass short left to L.Hankerson for 10 yards, TOUCHDOWN.	FALSE	FALSE	2					
ATL	J.Jones+M.Ryan+P.Amukamara	(1:53) (Shotgun) M.Ryan pass deep left to J.Jones for 38 yards, TOUCHDOWN. Penalty on NYG-J.Casillas, Defensive Holding, declined. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) M.Ryan pass deep left to J.Jones to NYG 1 for 37 yards (P.Amukamara). Penalty on NYG-J.Casillas, Defensive Holding, declined.	TRUE	FALSE	2					
ATL	D.Freeman	(1:20) D.Freeman left guard for 2 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld. The ruling on the field stands.	FALSE	FALSE	2					
WAS	M.Jones	(7:14) M.Jones left tackle for 39 yards, TOUCHDOWN.	FALSE	FALSE	2					
WAS	K.Cousins+P.Garcon	(3:07) K.Cousins pass short left to P.Garcon for 4 yards, TOUCHDOWN.	FALSE	FALSE	2					
STL	K.Britt+N.Foles	(7:09) N.Foles pass deep middle to K.Britt for 40 yards, TOUCHDOWN. PENALTY on STL-K.Britt, Taunting, 15 yards, enforced between downs.	FALSE	FALSE	2					
WAS	M.Jones	(2:43) M.Jones left end for 3 yards, TOUCHDOWN.	FALSE	FALSE	2					
CHI	R.Gould+D.Johnson	R.Gould kicks 73 yards from CHI 35 to ARI -8. D.Johnson for 108 yards, TOUCHDOWN.	FALSE	FALSE	2					
CHI	J.Bellamy+J.Cutler	(3:29) (No Huddle, Shotgun) J.Cutler pass deep left to J.Bellamy for 48 yards, TOUCHDOWN.	FALSE	FALSE	2					
ARI	C.Palmer+JA.Brown	(1:19) C.Palmer pass short left to JA.Brown for 6 yards, TOUCHDOWN.	FALSE	FALSE	2					
CHI	J.Langford	(10:06) C.Leno Jr. reported in as eligible.  J.Langford left guard for 1 yard, TOUCHDOWN.	FALSE	FALSE	2					
