"t.bucket","td.sum","rt.sum"
1418612640000,1,4
1418612645000,0,3
1418612650000,2,2
1418612655000,1,4
1418612660000,0,2
1418612665000,0,3
1418612670000,1,5
1418612675000,1,5
1418612680000,0,3
1418612685000,0,3
1418612690000,3,4
1418612695000,0,3
1418612700000,1,4
1418612705000,2,3
1418612710000,0,2
1418612715000,0,5
1418612720000,2,6
1418612725000,3,16
1418612730000,0,10
1418612735000,0,4
1418612740000,0,4
1418612745000,1,7
1418612750000,3,6
1418612755000,0,4
1418612760000,1,5
1418612765000,1,7
1418612770000,1,6
1418612775000,1,4
1418612780000,0,3
1418612785000,2,6
1418612790000,1,4
1418612795000,1,3
1418612800000,1,5
1418612805000,0,8
1418612810000,0,3
1418612815000,1,4
1418612820000,1,0
1418612825000,0,1
1418612830000,2,5
1418612835000,2,4
1418612840000,0,4
1418612845000,2,4
1418612850000,0,2
1418612855000,1,6
1418612860000,1,5
1418612865000,1,6
1418612870000,2,4
1418612875000,1,2
1418612880000,1,6
1418612885000,4,8
1418612890000,0,3
1418612895000,0,5
1418612900000,1,2
1418612905000,3,6
1418612910000,1,4
1418612915000,0,1
1418612920000,0,6
1418612925000,1,2
1418612930000,2,8
1418612935000,0,5
1418612940000,0,7
1418612945000,0,1
1418612950000,0,3
1418612955000,0,3
1418612960000,2,7
1418612965000,1,10
1418612970000,1,16
1418612975000,0,12
1418612980000,3,18
1418612985000,2,19
1418612990000,1,12
1418612995000,0,9
1.418613e+12,2,18
1418613005000,1,5
1418613010000,0,5
1418613015000,4,6
1418613020000,0,1
1418613025000,2,3
1418613030000,1,2
1418613035000,1,3
1418613040000,3,6
1418613045000,0,4
1418613050000,3,5
1418613055000,0,4
1418613060000,1,4
1418613065000,0,7
1418613070000,0,6
1418613075000,0,1
1418613080000,0,2
1418613085000,0,0
1418613090000,1,3
1418613095000,1,3
1418613100000,1,2
1418613105000,0,4
1418613110000,3,7
1418613115000,0,3
1418613120000,3,7
1418613125000,0,2
1418613130000,0,3
1418613135000,0,2
1418613140000,1,1
1418613145000,0,5
1418613150000,2,5
1418613155000,0,7
1418613160000,0,3
1418613165000,1,2
1418613170000,1,3
1418613175000,0,7
1418613180000,0,2
1418613185000,1,5
1418613190000,0,1
1418613195000,0,4
1418613200000,0,8
1418613205000,1,4
1418613210000,1,3
1418613215000,0,3
1418613220000,1,1
1418613225000,0,4
1418613230000,0,3
1418613235000,2,3
1418613240000,3,6
1418613245000,1,6
1418613250000,0,4
1418613255000,5,8
1418613260000,1,3
1418613265000,1,4
1418613270000,0,1
1418613275000,2,3
1418613280000,1,3
1418613285000,1,2
1418613290000,5,2
1418613295000,0,3
1418613300000,0,5
1418613305000,0,6
1418613310000,0,5
1418613315000,0,4
1418613320000,1,2
1418613325000,0,3
1418613330000,0,2
1418613335000,1,2
1418613340000,1,3
1418613345000,0,7
